key,xValue,value
Netherlands,1870,14267
Netherlands,1880,52715
Netherlands,1890,29349
Netherlands,1900,42463
Netherlands,1910,46065
Netherlands,1920,29397
Netherlands,1930,7791
Netherlands,1940,13877
Netherlands,1950,46703
Netherlands,1960,37918
Netherlands,1970,10373
Netherlands,1980,11234
Netherlands,1990,13345
Netherlands,2000,17351
Netherlands,2010,1520
Netherlands,2011,1258
Netherlands,2012,1294
Netherlands,2013,1376
Netherlands,2014,1373
Netherlands,2015,1505
New Zealand,1820,0
New Zealand,1830,0
New Zealand,1840,0
New Zealand,1850,2
New Zealand,1860,6
New Zealand,1870,39
New Zealand,1880,21
New Zealand,1890,12
New Zealand,1900,12
New Zealand,1910,12
New Zealand,1920,935
New Zealand,1930,790
New Zealand,1940,2351
New Zealand,1950,1799
New Zealand,1960,3775
New Zealand,1970,5018
New Zealand,1980,6129
New Zealand,1990,8600
New Zealand,2000,12495
New Zealand,2010,1046
New Zealand,2011,1006
New Zealand,2012,980
New Zealand,2013,1027
New Zealand,2014,941
New Zealand,2015,978
Nicaragua,1820,0
Nicaragua,1830,0
Nicaragua,1840,0
Nicaragua,1850,0
Nicaragua,1860,0
Nicaragua,1870,1
Nicaragua,1880,1
Nicaragua,1890,3
Nicaragua,1900,3
Nicaragua,1910,3
Nicaragua,1920,3
Nicaragua,1930,564
Nicaragua,1940,4393
Nicaragua,1950,7812
Nicaragua,1960,10383
Nicaragua,1970,10911
Nicaragua,1980,31102
Nicaragua,1990,80446
Nicaragua,2000,70015
Nicaragua,2010,3476
Nicaragua,2011,3314
Nicaragua,2012,2943
Nicaragua,2013,2940
Nicaragua,2014,2773
Nicaragua,2015,3262
Norway,1820,0
Norway,1830,0
Norway,1840,0
Norway,1850,0
Norway,1860,0
Norway,1870,88644
Norway,1880,185111
Norway,1890,96810
Norway,1900,182542
Norway,1910,79488
Norway,1920,70327
Norway,1930,6901
Norway,1940,8326
Norway,1950,22813
Norway,1960,17371
Norway,1970,3927
Norway,1980,3835
Norway,1990,5211
Norway,2000,4599
Norway,2010,363
Norway,2011,405
Norway,2012,314
Norway,2013,389
Norway,2014,332
Norway,2015,357
Panama,1820,0
Panama,1830,0
Panama,1840,0
Panama,1850,0
Panama,1860,0
Panama,1870,0
Panama,1880,0
Panama,1890,0
Panama,1900,0
Panama,1910,0
Panama,1920,0
Panama,1930,1774
Panama,1940,5282
Panama,1950,12601
Panama,1960,22177
Panama,1970,21395
